N,mergeRandom,mergeReverse,mergeAlmost,merge5Random,merge5Reverse,merge5Almost,merge30Random,merge30Reverse,merge30Almost,merge50Random,merge50Reverse,merge50Almost
500,3470,3251,3100,1553,1510,1516,743,665,656,496,499,443
600,3168,2768,2793,1354,1320,1323,691,677,651,507,520,454
700,2726,2595,2501,1472,1389,1353,600,589,560,453,469,397
800,2559,2465,2438,1512,1468,1473,579,561,512,429,452,370
900,2525,2451,2374,1420,1386,1381,546,541,498,546,540,499
1000,2479,2403,2375,1381,1322,1311,717,696,671,538,551,487
1100,2852,2799,2820,1631,1567,1567,889,866,842,677,675,625
1200,3122,3057,3075,1711,1678,1675,929,898,871,709,712,639
1300,3387,3334,3342,1820,1777,1775,966,930,902,735,749,662
1400,3616,3535,3551,2139,2070,2075,987,964,938,772,790,681
1500,3824,3761,3771,2433,2361,2371,1022,1002,951,805,848,718
1600,4083,3949,3968,2559,2485,2493,1052,1029,980,834,867,719
1700,4198,4107,4139,2601,2573,2532,1102,1069,994,1084,1067,990
1800,4365,4293,4318,2643,2559,2579,1120,1098,1022,1120,1099,1018
1900,4552,4441,4471,2702,2648,2614,1148,1138,1065,1146,1133,1083
2000,4814,4616,4622,2731,2614,2622,1517,1444,1408,1161,1144,1058
2100,5327,5201,5223,3145,3065,3060,1852,1789,1758,1464,1437,1337
2200,5752,5634,5663,3376,3248,3279,1929,1871,1836,1497,1516,1377
2300,6107,6028,6008,3507,3383,3402,1964,1913,1858,1529,1526,1393
2400,6397,6264,6305,3581,3452,3495,2001,1938,1881,1561,1564,1416
2500,6677,6537,6592,3664,3522,3537,2035,1976,1916,1596,1613,1449
2600,6912,6779,6810,3821,3675,3699,2085,2002,1950,1635,1633,1508
2700,7180,7016,7050,4131,4002,4022,2116,2058,2000,1693,1703,1513
2800,7365,7216,7253,4427,4307,4299,2138,2069,1990,1717,1713,1514
2900,7592,7449,7484,4731,4582,4600,2181,2104,2014,1750,1758,1532
3000,7829,7630,7686,5116,5013,5074,2344,2188,2110,1828,1841,1601
3100,8327,8152,8014,5321,5168,5172,2321,2293,2158,1957,1957,1640
3200,8310,8045,8076,5292,5100,5153,2296,2251,2106,1874,1941,1614
3300,8392,8223,8269,5331,5146,5215,2319,2288,2167,2326,2308,2178
3400,8579,8402,8451,5384,5193,5230,2349,2293,2159,2348,2308,2161
3500,8756,8571,8623,5415,5247,5261,2419,2396,2194,2379,2323,2193
3600,8953,8746,8799,5460,5266,5365,2419,2359,2217,2434,2367,2218
3700,9114,8885,8976,5508,5337,5336,2465,2392,2246,2447,2398,2258
3800,9276,9068,9107,5530,5363,5366,2501,2424,2259,2476,2427,2271
3900,9453,9258,9355,5597,5390,5405,2857,2768,2630,2516,2454,2283
4000,9643,9398,9466,5620,5416,5615,3354,3108,3032,2571,2491,2339
4100,10132,9882,9931,5970,5729,5794,3543,3415,3344,2878,2807,2620
4200,10939,10695,10769,6667,6410,6424,4060,3904,3799,3222,3169,2972
4300,11422,11160,11233,6868,6637,6677,4133,3970,3957,3312,3218,3014
4400,11806,11527,11653,7054,6813,6861,4187,4029,3935,3312,3278,3043
4500,12200,11948,12011,7188,6949,6980,4231,4055,3981,3344,3309,3069
4600,12552,12233,12400,7355,7077,7104,4268,4091,4049,3384,3383,3102
4700,12815,12503,12650,7407,7157,7210,4293,4146,4038,3419,3397,3129
4800,13083,12783,12897,7472,7194,7264,4323,4188,4071,3480,3478,3155
4900,13362,13072,13163,7547,7261,7328,4366,4231,4112,3492,3471,3181
5000,13691,13423,13434,7633,7306,7370,4405,4261,4133,3531,3524,3207
5100,13957,13667,13769,7668,7379,7419,4461,4285,4169,3580,3547,3235
5200,14208,13916,14060,7982,7647,7712,4487,4320,4221,3610,3589,3285
5300,14510,14167,14424,8438,8098,8054,4552,4389,4258,3687,3654,3315
5400,14723,14380,14523,8628,8320,8462,4594,4433,4285,3810,3777,3349
5500,14907,14579,14686,8937,8621,8676,4668,4553,4320,3845,3842,3404
5600,15125,14755,14878,9252,8919,8988,4730,4497,4411,3904,3785,3415
5700,15387,14998,15083,9526,9191,9254,4720,4611,4383,3904,3904,3433
5800,15647,15265,15426,9886,9482,9549,4841,4606,4458,4042,3957,3438
5900,15804,15422,15542,10123,9763,9847,4828,4627,4502,4215,4017,3493
6000,16019,15655,15777,10433,10089,10163,4804,4651,4542,3952,3962,3516
6100,16259,15878,15997,10695,10368,10418,4825,4756,4522,3956,4010,3537
6200,16431,16061,16151,10855,10480,10611,5223,5190,4987,4376,4524,3926
6300,16860,16278,16387,10908,10520,10698,4933,4758,4560,4034,4093,3577
6400,16805,16443,16542,10958,10565,10733,4936,4787,4580,4069,4132,3605
6500,17000,16574,16715,10993,10701,10699,4985,4816,4624,4797,4702,4398
6600,17174,16769,16906,11196,10656,10753,5018,4873,4639,5034,4853,4646
6700,17352,16947,17122,11118,10757,10801,5070,4931,4769,5203,5172,4790
6800,18168,17211,17276,11159,10753,10827,5098,4957,4691,5089,4944,4696
6900,17726,17378,17447,11184,10774,10882,5150,4971,4750,5126,4970,4777
7000,18006,17487,17586,11227,10892,10899,5164,5030,4757,5194,5052,4805
7100,18095,17649,17805,11272,10871,10954,5239,5079,4814,5222,5164,4785
7200,18312,17832,17945,11351,10901,11066,5273,5094,4816,5265,5109,4803
7300,18453,18018,18114,11424,10984,11026,5304,5126,4858,5284,5133,4849
7400,18627,18218,18368,11447,10990,11082,5332,5183,4886,5333,5179,4893
7500,18849,18457,18466,11491,11049,11129,5365,5217,4903,5369,5209,4909
7600,19123,18585,18628,11536,11093,11169,5411,5254,4927,5441,5297,4972
7700,19156,18698,18787,11571,11126,11231,5613,5438,5070,5448,5282,4975
7800,19333,18862,19044,11649,11262,11247,6154,5923,5690,5471,5340,4989
7900,19523,19032,19199,11734,11213,11294,6707,6438,6270,5524,5372,5039
8000,19775,19295,19343,11709,11252,11331,6960,6641,6512,5577,5409,5104
8100,19908,19382,19532,11760,11294,11377,7029,6740,6555,5604,5473,5078
8200,20773,20279,20385,12543,12074,12108,7716,7376,7262,6328,6168,5798
8300,21861,21418,21503,13389,12913,13008,8447,8174,7982,6972,6861,6443
8400,22494,21953,22082,13799,13382,13394,8667,8321,8199,7061,6913,6526
8500,22965,22524,22588,14113,13652,13700,8777,8470,8322,7200,7032,6590
8600,23445,22896,23039,14350,13924,13914,8877,8528,8394,7160,7026,6666
8700,23912,23413,23517,14597,14041,14127,8980,8634,8568,7216,7068,6645
8800,24243,23669,23861,14803,14169,14305,9016,8683,8498,7247,7134,6669
8900,24721,24020,24165,14853,14300,14445,9095,8699,8546,7306,7150,6709
