N,mergeRandom,mergeReverse,mergeAlmost,merge50Random,merge50Reverse,merge50Almost,merge100Random,merge100Reverse,merge100Almost,merge200Random,merge200Reverse,merge200Almost
500,3465,2863,2790,578,527,434,377,430,300,336,462,198
600,3200,2779,2775,562,576,496,445,458,307,365,508,209
700,2918,2737,2660,504,528,563,396,465,300,380,562,223
800,2835,2646,2631,518,513,419,393,479,288,410,659,215
900,2699,2593,2595,602,607,554,465,493,391,429,525,291
1000,2647,2588,2592,582,588,523,470,519,378,422,541,301
1100,3114,2976,3007,762,774,668,567,644,486,499,644,345
1200,3375,3111,3177,805,710,642,563,642,486,533,722,380
1300,3551,3404,3380,773,838,684,617,677,477,583,794,385
1400,3718,3604,3579,806,874,713,643,775,552,656,935,437
1500,3988,3799,3845,857,865,740,716,805,567,723,1015,425
1600,4230,4092,4111,870,892,767,760,889,599,823,1075,429
1700,4282,4198,4155,1080,1092,1093,861,911,766,762,891,551
1800,4562,4332,4494,1121,1080,1005,886,989,798,822,1014,580
1900,4594,4618,4542,1217,1171,1048,937,984,788,834,1062,672
2000,4877,4738,4668,1246,1218,1047,956,1023,796,884,1086,623
2100,5548,5465,5281,1545,1469,1329,1201,1271,1024,1116,1413,814
2200,5791,5697,5832,1597,1482,1460,1255,1475,1081,1153,1495,907
2300,6300,6210,6360,1562,1607,1450,1308,1453,1195,1235,1564,905
2400,6781,6755,6677,1697,1630,1526,1427,1466,1195,1348,1678,914
2500,7128,6827,6831,1734,1645,1540,1431,1560,1184,1355,1751,948
2600,7187,7110,7158,1711,1762,1562,1392,1703,1209,1406,1823,936
2700,7403,7192,7134,1653,1665,1633,1448,1706,1249,1409,1943,1029
2800,7645,7537,7546,1837,1744,1618,1553,1726,1230,1554,2024,1003
2900,7832,7755,7787,1829,1870,1604,1584,1809,1282,1570,2146,1022
3000,8126,7921,8105,1890,1922,1618,1592,1871,1230,1584,2072,1005
3100,8119,7964,8044,1873,1917,1617,1573,1796,1259,1639,2189,1036
3200,8290,8112,8163,1839,1935,1649,1630,1863,1274,1652,2356,1056
3300,8507,8382,8442,2381,2332,2178,1931,1979,1679,1771,1974,1341
3400,8681,8461,8575,2353,2359,2172,1920,1978,1747,1753,1993,1324
3500,8833,8642,8793,2465,2349,2185,2026,2017,1710,1759,2058,1441
3600,9022,8804,8910,2427,2363,2239,2003,2055,1713,1830,2142,1359
3700,9230,8995,9100,2469,2410,2254,2050,2158,1751,1892,2215,1416
3800,9296,9145,9154,2491,2468,2278,2074,2197,1774,1914,2260,1469
3900,9544,9514,9414,2525,2517,2307,2200,2271,1820,2005,2333,1491
4000,9867,9478,9610,2631,2561,2387,2243,2462,1878,2047,2561,1471
4100,10263,10120,10146,2913,2855,2759,2481,2579,2236,2308,2769,1758
4200,11155,11017,11068,3364,3289,3146,2785,2940,2492,2531,3046,2007
4300,11565,11208,11270,3292,3244,3004,2763,2873,2379,2532,3049,1943
4400,11888,11634,11714,3286,3270,3029,2764,2937,2391,2549,3185,1948
4500,12194,11980,12017,3377,3290,3136,2808,2985,2426,2722,3304,2028
4600,12893,12804,12960,3582,3513,3212,3077,3275,2444,2697,3302,2024
4700,12935,12705,12845,3428,3531,3192,3003,3163,2490,2757,3353,2020
4800,13305,12976,13114,3471,3573,3147,3047,3139,2494,2947,3628,2060
4900,13566,13450,13407,3559,3468,3269,3008,3253,2602,2826,3563,2181
5000,13934,13621,13640,3576,3501,3304,3016,3328,2642,2897,3667,2134
5100,14350,13833,14245,3687,3653,3388,3322,3479,2783,3184,3932,2257
5200,14672,14152,14361,3704,3641,3403,3228,3426,2691,3055,3846,2339
5300,14902,14486,14503,3805,3638,3430,3191,3463,2749,3067,4014,2198
5400,14876,14496,14542,3714,3710,3308,3259,3536,2693,3142,4004,2255
5500,15015,14629,14867,3773,3789,3339,3330,3622,2740,3266,4118,2305
5600,15363,15008,15100,3941,3783,3508,3334,3665,2796,3328,4281,2252
5700,15662,15300,15368,3886,3823,3561,3319,3733,2802,3370,4417,2267
5800,15918,15571,15661,3866,4017,3428,3466,3786,2908,3409,4440,2356
5900,16143,16110,16254,4193,4155,3655,3688,4037,2888,3707,4710,2457
6000,16672,16349,16483,4060,4066,3602,3540,3903,2836,3593,4516,2497
6100,16518,16165,16290,4004,4104,3539,3573,3961,2854,3700,4634,2451
6200,16708,16367,16384,4125,4017,3628,3549,4037,2915,3658,4880,2475
6300,16941,16479,16521,4082,4101,3624,3588,4071,2872,3756,4976,2508
6400,16965,16703,16832,4249,4257,3720,3842,4315,3041,3911,5316,2547
6500,17427,17067,17163,5106,4934,4594,4330,4392,3807,3987,4402,3085
6600,17704,17332,17291,5116,4952,4834,4456,4470,3842,3977,4510,3127
6700,18018,17798,18103,5456,5179,4942,4558,4534,3958,4081,4631,3175
6800,18505,17956,17780,5157,5006,4917,4270,4420,3745,3975,4350,3127
6900,17860,17403,17415,5126,4988,4720,4282,4349,3731,3877,4412,3046
7000,17943,17460,17610,5174,5017,4752,4302,4384,3784,3910,4529,3065
7100,18281,17738,17821,5282,5101,4841,4376,4487,3838,3990,4607,3169
7200,18379,17852,18025,5333,5180,4865,4440,4538,3915,4028,4740,3172
7300,18784,18351,18804,5641,5422,5165,4731,4857,4091,4414,5107,3331
7400,19438,19306,19393,5573,5309,4999,4675,4658,3979,4125,5028,3313
7500,19394,18982,18541,5362,5246,4914,4538,4763,3920,4192,4849,3232
7600,19014,18663,18696,5402,5278,4950,4567,4720,3935,4243,5111,3219
7700,19194,18738,18827,5437,5315,4949,4617,4752,3966,4293,5107,3248
7800,19354,18875,19021,5473,5329,4999,4648,4816,3982,4376,5150,3279
7900,19535,19084,19326,5559,5393,5048,4686,4841,4020,4356,5214,3292
8000,19672,19209,19480,5538,5427,5056,4705,4910,4021,4483,5260,3323
8100,19943,19434,19623,5596,5442,5080,4776,4963,4088,4472,5428,3370
8200,20754,20245,20464,6299,6181,5794,5497,5666,4779,5255,6136,4046
8300,21914,21444,21509,6928,6834,6430,5956,6184,5249,5524,6517,4378
8400,22503,21986,22142,7065,6930,6528,6061,6232,5277,5559,6607,4429
8500,22979,22479,22527,7182,7015,6584,6063,6293,5304,5677,6681,4417
8600,23413,22859,22981,7155,7070,6601,6093,6312,5332,5722,6762,4447
8700,23904,23366,23532,7221,7093,6632,6134,6390,5362,5777,6822,4484
8800,24330,23757,23835,7227,7142,6698,6182,6431,5391,5827,6930,4485
8900,24708,24018,24268,7281,7183,6697,6246,6514,5463,5902,6999,4515
9000,24978,24401,24577,7350,7196,6728,6292,6605,5471,5950,7085,4563
9100,25314,24795,24935,7403,7243,6793,6378,6656,5478,6045,7151,4569
9200,25739,25075,25336,7405,7284,6787,6389,6706,5514,6147,7239,4594
9300,26015,25475,25526,7433,7346,6828,6418,6784,5544,6120,7356,4618
9400,26211,25561,25809,7468,7362,6841,6433,6831,5551,6193,7473,4660
9500,26592,25877,26118,7553,7430,6915,6528,6902,5651,6289,7545,4693
9600,26851,26225,26389,7613,7491,6921,6553,6965,5645,6423,7564,4738
9700,27125,26580,26675,7627,7504,6950,6606,7009,5686,6339,7696,4752
9800,27463,26838,26973,7676,7542,6972,6671,7089,5688,6454,7777,4762
9900,27727,27157,27299,7734,7582,7052,6686,7207,5708,6462,7886,4822
10000,27996,27517,27574,7747,7629,7045,6723,7248,5726,6597,8042,4827
