N,quick_random,quick_reverse,quick_almost,better_quick_random,better_quick_reverse,better_quick_almost
500,116,75,93,82,37,61
600,113,82,97,94,49,87
700,130,101,113,113,54,87
800,153,122,126,120,59,96
900,172,113,146,138,81,104
1000,193,129,146,153,80,202
1100,277,172,207,221,91,158
1200,295,195,254,245,104,174
1300,322,192,245,261,115,183
1400,344,214,268,288,115,174
1500,314,200,241,275,110,185
1600,337,207,253,291,118,215
1700,359,220,283,308,137,223
1800,385,233,251,278,113,191
1900,347,209,261,296,119,198
2000,372,235,287,317,127,224
2100,397,233,298,328,130,193
2200,350,210,266,296,129,206
2300,369,248,401,319,125,243
2400,384,265,304,331,140,225
2500,371,223,273,302,148,224
2600,398,229,281,319,130,251
2700,403,236,305,333,142,227
2800,406,227,287,330,135,227
2900,403,235,309,346,135,229
3000,417,248,315,347,146,248
3100,430,238,299,338,143,227
3200,409,244,314,350,139,245
3300,421,254,315,367,155,249
3400,447,243,321,348,147,237
3500,427,250,321,365,147,250
3600,438,263,330,374,167,260
3700,437,249,332,368,156,250
3800,451,258,339,382,173,262
3900,456,273,348,386,166,277
4000,453,272,335,386,160,267
4100,465,270,355,393,165,262
4200,449,266,344,389,164,257
4300,470,266,344,403,163,277
4400,468,277,356,409,166,291
4500,487,299,348,407,159,276
4600,474,283,367,412,172,290
4700,493,288,359,410,167,290
4800,500,288,371,433,171,278
4900,502,312,380,440,190,307
5000,524,296,379,449,186,300
5100,535,314,390,447,185,309
5200,536,302,399,471,200,311
5300,543,341,398,466,194,325
5400,560,341,402,447,179,324
5500,578,359,426,511,204,372
5600,586,342,443,510,201,328
5700,591,345,517,512,212,389
5800,618,416,479,543,224,357
5900,636,349,452,510,207,325
6000,618,373,484,563,220,402
6100,660,392,475,539,222,358
6200,628,365,512,571,220,390
6300,658,386,509,589,238,409
6400,687,396,512,593,240,416
6500,704,407,536,583,246,400
6600,695,402,529,602,252,420
6700,709,414,529,627,264,433
6800,724,455,547,642,254,414
6900,750,409,532,631,251,436
7000,751,427,513,617,267,399
7100,694,404,519,574,240,396
7200,698,394,534,609,245,451
7300,698,408,517,620,250,413
7400,737,420,521,614,255,419
7500,724,410,534,618,261,428
7600,724,423,543,630,265,435
7700,760,449,554,634,279,458
7800,767,467,572,671,262,439
7900,767,449,552,654,279,445
8000,762,440,581,675,268,470
8100,789,461,583,671,274,455
8200,797,470,571,682,283,477
8300,799,485,590,704,320,475
8400,809,462,596,703,281,474
8500,849,505,598,712,338,494
8600,838,481,617,738,294,491
8700,842,492,618,738,303,491
8800,944,539,687,808,441,603
8900,856,510,649,744,310,500
9000,871,524,666,760,311,582
9100,967,550,677,827,435,557
9200,913,590,653,786,332,539
9300,909,556,699,825,348,553
9400,976,529,655,815,314,543
9500,979,514,689,819,317,550
9600,1141,613,849,967,325,549
9700,956,588,700,859,368,660
9800,1009,566,699,879,374,587
9900,997,564,673,965,325,441
10000,975,631,617,833,351,351
